gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ACHN_DNMT3AmutP904L_1	ACHN_DNMT3AmutP904L_2	ACHN_DNMT3AmutP904L_3	ACHN_DNMT3Awt_1	ACHN_DNMT3Awt_2	ACHN_DNMT3Awt_3	symbol	description	term	threshold
ENSG00000198315	1189.485	0.424	0.079	5.339	9.36889065674113e-08	3.1064584888356e-05	1230.56	1407.88	1452.88	966.02	1000.01	1079.56	ZKSCAN8	zinc	finger	TRUE
ENSG00000111186	864.726	-0.502	0.094	-5.315	1.06800208303136e-07	3.30998491733334e-05	789.54	732.33	624.37	1115.39	947.38	979.35	WNT5B	Wnt	family	TRUE
ENSG00000133065	3219.552	0.287	0.054	5.318	1.04736409705116e-07	3.30998491733334e-05	3417.49	3486.78	3712.2	2901.32	2906.92	2892.6	SLC41A1	solute	carrier	TRUE
ENSG00000164402	6651.762	0.319	0.06	5.308	1.11062181032028e-07	3.35602145533532e-05	6990.25	7453.82	7712.22	5533.33	5813.83	6407.11	SEPT8	septin	8	TRUE
ENSG00000088832	5206.125	-0.283	0.054	-5.288	1.23843254273804e-07	3.6509595473353e-05	4814.06	4819.72	4457.95	5968.36	5656.95	5519.7	FKBP1A	FKBP	prolyl	TRUE
ENSG00000259623	277.052	-0.698	0.132	-5.271	1.35432499495018e-07	3.89755386046735e-05	249.42	188.47	194.02	357.62	338.06	334.72	AC125257.1	NA	NA	TRUE
ENSG00000117632	5542.413	-0.244	0.047	-5.228	1.71766500021716e-07	4.71850383127837e-05	5168.36	4985.49	5071.29	5919.3	6131.65	5978.39	STMN1	stathmin	1	TRUE
ENSG00000123096	541.948	0.559	0.107	5.231	1.68918766561381e-07	4.71850383127837e-05	547.56	690.32	700.69	425.22	426.12	461.78	SSPN	sarcospan	NA	TRUE
ENSG00000110092	6843.425	-0.257	0.049	-5.215	1.83970468215708e-07	4.94144677627391e-05	5977.72	6455.82	6274.05	7635.45	7231.87	7485.64	CCND1	cyclin	D1	TRUE
ENSG00000044574	15633.483	-0.236	0.045	-5.195	2.04184561240973e-07	5.36517128634704e-05	14518.98	14091.3	14458.92	17104.79	16179.34	17447.56	HSPA5	heat	shock	TRUE
ENSG00000162924	206.937	0.984	0.19	5.178	2.24003800277519e-07	5.66163666680741e-05	194.08	295.2	335.63	172.27	119.43	125	REL	REL	proto-oncogene,	TRUE
ENSG00000168916	2208.146	0.295	0.057	5.178	2.24835409950158e-07	5.66163666680741e-05	2367.8	2426.32	2504.84	1948.39	1978.77	2022.76	ZNF608	zinc	finger	TRUE
ENSG00000119969	2292.99	-0.375	0.072	-5.168	2.37171431229167e-07	5.80002614816341e-05	2212.53	1865.44	1908.97	2645.09	2409.95	2715.95	HELLS	helicase,	lymphoid	TRUE
ENSG00000164236	199.087	0.789	0.153	5.165	2.39928276171234e-07	5.80002614816341e-05	218.86	283.85	254.71	151.55	129.56	155.99	ANKRD33B	ankyrin	repeat	TRUE
ENSG00000260539	552.406	-0.538	0.104	-5.159	2.47989651489843e-07	5.87735474030927e-05	513.7	393.98	441.38	638.92	700.41	626.04	NA	NA	NA	TRUE
ENSG00000167004	10341.468	-0.242	0.047	-5.133	2.84465588125889e-07	6.61218377630313e-05	9474.5	9728.01	9230.39	11314.15	10759.24	11542.52	PDIA3	protein	disulfide	TRUE
ENSG00000026508	12624.413	-0.252	0.049	-5.125	2.97195277563403e-07	6.65222096279417e-05	11534.25	12149.79	10892.93	13908	13660.08	13601.43	CD44	CD44	molecule	TRUE
ENSG00000198162	1289.682	0.431	0.084	5.128	2.93273337407125e-07	6.65222096279417e-05	1289.2	1571.38	1583.46	1144.83	1028.35	1120.88	MAN1A2	mannosidase	alpha	TRUE
ENSG00000146858	264.898	0.79	0.155	5.095	3.48938124711346e-07	7.66839111524735e-05	256.02	355.38	396.32	207.16	174.09	200.42	ZC3HAV1L	zinc	finger	TRUE
ENSG00000117450	15449.179	-0.218	0.043	-5.079	3.79006052522592e-07	8.18043956578674e-05	14663.51	14210.52	13979.84	16331.76	16914.17	16595.27	PRDX1	peroxiredoxin	1	TRUE
ENSG00000170160	205.871	0.759	0.15	5.074	3.89575947533789e-07	8.26106048744018e-05	237.03	238.43	300.69	162.46	143.73	152.89	CCDC144A	coiled-coil	domain	TRUE
ENSG00000011405	3438.894	0.409	0.081	5.062	4.14852195716426e-07	8.64537670624904e-05	3371.24	3970.45	4428.53	2979.82	2751.04	3132.28	PIK3C2A	phosphatidylinositol-4-phosphate	3-kinase	TRUE
ENSG00000172660	6718.774	-0.289	0.057	-5.048	4.4636421091748e-07	9.14441392772811e-05	6546.76	5834.76	5761.87	7337.79	7666.08	7165.39	NA	NA	NA	TRUE
ENSG00000171303	1516.125	-0.355	0.071	-5.016	5.28473465754195e-07	0.000106460979676183	1375.09	1367.01	1249.66	1828.45	1617.43	1659.11	KCNK3	potassium	two	TRUE
ENSG00000113594	1034.163	0.459	0.092	4.965	6.86897362224727e-07	0.000136107023232955	1072.82	1188.75	1330.58	831.91	804.67	976.25	LIFR	LIF	receptor	TRUE
ENSG00000134333	22240.364	-0.225	0.045	-4.958	7.11963151162e-07	0.000138337300699885	20615.63	21235.17	19677.34	23705.53	23588.34	24620.18	LDHA	lactate	dehydrogenase	TRUE
ENSG00000188211	724.571	0.562	0.113	4.956	7.21043265003126e-07	0.000138337300699885	730.9	862.9	998.63	588.77	505.07	661.17	NCR3LG1	natural	killer	TRUE
ENSG00000042753	2242.139	-0.301	0.061	-4.943	7.67337381602151e-07	0.000144918858303519	2036.62	2073.22	1918.17	2493.54	2578.98	2352.31	AP2S1	adaptor	related	TRUE
ENSG00000101361	6252.252	-0.229	0.046	-4.936	7.99007831739224e-07	0.000148578579418954	5867.88	5748.47	5650.6	6843.88	6568.9	6833.77	NOP56	NOP56	ribonucleoprotein	TRUE
ENSG00000163629	6921.74	0.302	0.061	4.921	8.61055780533429e-07	0.000157690624534963	7023.29	7592.34	8313.6	6086.11	6027.4	6487.69	PTPN13	protein	tyrosine	TRUE
ENSG00000132646	6062.449	-0.256	0.052	-4.912	9.02136926521632e-07	0.000162431650743343	5502.02	5517.99	5554.97	6649.8	6202.5	6947.41	PCNA	proliferating	cell	TRUE
ENSG00000189159	4024.788	-0.237	0.048	-4.909	9.13820819934419e-07	0.000162431650743343	3666.08	3693.42	3725.99	4323.08	4432.24	4307.91	JPT1	Jupiter	microtubule	TRUE
ENSG00000134245	1812.778	0.38	0.078	4.892	9.99166376629644e-07	0.000175027883975688	2056.44	1999.42	2094.72	1356.35	1656.9	1712.83	WNT2B	Wnt	family	TRUE
ENSG00000138449	1191.226	0.422	0.087	4.874	1.09105805987109e-06	0.000185794039308816	1238	1305.7	1549.43	947.48	1034.43	1072.33	SLC40A1	solute	carrier	TRUE
ENSG00000141753	1149.744	-0.419	0.086	-4.874	1.09136897418101e-06	0.000185794039308816	1029.87	1083.16	840.46	1329.09	1343.13	1272.74	IGFBP4	insulin	like	TRUE
ENSG00000074527	1169.82	0.431	0.089	4.864	1.15107023571386e-06	0.000188013323500993	1261.95	1329.54	1440.01	848.26	1065.8	1073.36	NTN4	netrin	4	TRUE
ENSG00000104368	429.832	-0.531	0.109	-4.865	1.1466535606419e-06	0.000188013323500993	322.09	391.71	342.99	553.88	483.81	484.51	PLAT	plasminogen	activator,	TRUE
ENSG00000128915	1178.377	0.338	0.069	4.868	1.12462401722615e-06	0.000188013323500993	1301.59	1280.72	1364.6	1000.91	1074.91	1047.54	ICE2	interactor	of	TRUE
ENSG00000085662	49448.599	-0.199	0.041	-4.849	1.24267580516193e-06	0.000197634506013056	47256.89	45296.31	45579.99	53875.52	51914.58	52768.3	AKR1B1	aldo-keto	reductase	TRUE
ENSG00000205542	34182.742	-0.224	0.046	-4.851	1.22690425089597e-06	0.000197634506013056	32918.78	31269.73	30410.26	37675.68	37210.97	35611.03	TMSB4X	thymosin	beta	TRUE
ENSG00000087191	5262.35	-0.239	0.05	-4.822	1.42034994507965e-06	0.000222958049171139	4968.5	4832.21	4680.48	5704.51	5858.37	5530.04	PSMC5	proteasome	26S	TRUE
ENSG00000166598	38872.516	-0.219	0.045	-4.813	1.48891668201611e-06	0.000230724819686266	36546.87	36652.6	34589.59	40513.76	41531.87	43400.4	HSP90B1	heat	shock	TRUE
ENSG00000069849	2350.697	-0.277	0.058	-4.8	1.58853733304399e-06	0.000241641423126881	2155.55	2013.04	2205.99	2554.6	2583.03	2591.98	ATP1B3	ATPase	Na+/K+	TRUE
ENSG00000140945	961.757	-0.5	0.104	-4.798	1.5993475511004e-06	0.000241641423126881	795.32	785.69	808.28	1366.16	1070.86	944.23	CDH13	cadherin	13	TRUE
ENSG00000165895	298.927	0.619	0.129	4.792	1.65247220924317e-06	0.00024658557522373	312.18	359.92	414.71	233.33	236.84	236.57	ARHGAP42	Rho	GTPase	TRUE
ENSG00000141401	340.397	0.705	0.147	4.785	1.70980463159366e-06	0.000252029372952105	423.68	423.5	419.31	178.81	301.62	295.46	IMPA2	inositol	monophosphatase	TRUE
ENSG00000183808	981.004	0.368	0.077	4.782	1.73443435500333e-06	0.000252579615047293	1036.48	1104.73	1175.18	889.69	842.12	837.82	RBM12B	RNA	binding	TRUE
ENSG00000091490	3517.632	0.277	0.058	4.765	1.88445647658593e-06	0.000271159826577311	3609.1	3905.74	4048.76	3113.93	3125.54	3302.73	SEL1L3	SEL1L	family	TRUE
ENSG00000185043	1957.119	-0.308	0.065	-4.758	1.95204893275228e-06	0.000277581358237375	1803.72	1815.49	1629.43	2183.89	2239.91	2070.28	CIB1	calcium	and	TRUE
ENSG00000164442	4827.77	0.235	0.049	4.748	2.05614394879285e-06	0.000288983859407665	5139.46	5251.17	5268.99	4255.48	4512.2	4539.32	CITED2	Cbp/p300	interacting	TRUE
ENSG00000138688	2241.817	0.282	0.06	4.739	2.14650165551206e-06	0.000297324658336038	2356.24	2453.57	2571.97	2091.22	1971.68	2006.23	KIAA1109	KIAA1109	protein	TRUE
ENSG00000139174	3110.056	0.284	0.06	4.737	2.16468684814853e-06	0.000297324658336038	3287.01	3390.27	3567.83	2648.36	2787.48	2979.38	PRICKLE1	prickle	planar	TRUE
ENSG00000113249	6339.002	0.36	0.076	4.714	2.43318340419745e-06	0.000330448177601512	6201.54	7453.82	7723.26	5888.77	5002.08	5764.54	HAVCR1	hepatitis	A	TRUE
ENSG00000104490	409.587	-0.544	0.115	-4.709	2.48513129923012e-06	0.000333753133486606	322.92	334.94	342.07	548.43	496.97	412.2	NCALD	neurocalcin	delta	TRUE
ENSG00000156675	8155.191	0.285	0.061	4.7	2.59829906076941e-06	0.000345116931291427	8300.93	8902.58	9672.69	6932.19	7418.1	7704.65	RAB11FIP1	RAB11	family	TRUE
ENSG00000125844	3495.6	-0.245	0.052	-4.691	2.71863599107447e-06	0.000353334980904485	3207.72	3315.33	3076.8	3771.38	3850.25	3752.12	RRBP1	ribosome	binding	TRUE
ENSG00000167553	14813.164	-0.232	0.049	-4.691	2.71480296784858e-06	0.000353334980904485	13093.51	14537.51	13246.96	15849.85	16004.24	16146.92	TUBA1C	tubulin	alpha	TRUE
ENSG00000142507	3901.332	-0.269	0.057	-4.686	2.79166658738156e-06	0.000358966745124265	3652.04	3693.42	3271.74	4256.57	4349.24	4184.98	PSMB6	proteasome	subunit	TRUE
ENSG00000166750	4564.599	0.268	0.057	4.683	2.82495592858018e-06	0.000359423603249986	4681.09	4924.18	5355.43	4060.32	4163	4203.57	SLFN5	schlafen	family	TRUE
ENSG00000100201	13634.13	0.216	0.046	4.676	2.92935985556793e-06	0.000361297679329077	14450.43	14194.62	15316.86	12716.29	12789.63	12336.95	DDX17	DEAD-box	helicase	TRUE
ENSG00000111057	8136.024	-0.295	0.063	-4.68	2.87016772219239e-06	0.000361297679329077	7569.2	7580.99	6775.2	8314.71	9730.88	8845.16	KRT18	keratin	18	TRUE
ENSG00000163453	6677.28	0.232	0.05	4.677	2.90830118774489e-06	0.000361297679329077	7056.32	7342.56	7241.41	5945.46	6026.39	6451.54	IGFBP7	insulin	like	TRUE
ENSG00000258486	2616.181	0.313	0.067	4.665	3.08975542824222e-06	0.000377231049102664	2636.21	3170	2893.81	2297.28	2383.63	2316.15	NA	NA	NA	TRUE
ENSG00000177200	2761.179	0.337	0.072	4.652	3.29503525726161e-06	0.000398270911545211	2779.91	3106.42	3361.86	2393.23	2301.65	2624	CHD9	chromodomain	helicase	TRUE
ENSG00000091656	3088.359	0.286	0.061	4.647	3.36039584542479e-06	0.000402149550333162	3232.5	3280.14	3667.14	2678.89	2803.68	2867.81	ZFHX4	zinc	finger	TRUE
ENSG00000117143	1963.964	-0.273	0.059	-4.625	3.73917745219652e-06	0.000443092528085288	1792.99	1743.96	1797.71	2114.11	2237.88	2097.14	UAP1	UDP-N-acetylglucosamine	pyrophosphorylase	TRUE
ENSG00000197043	4016.165	-0.272	0.059	-4.616	3.90840196888885e-06	0.000454238986518842	3782.53	3799.01	3337.03	4465.91	4420.09	4292.42	ANXA6	annexin	A6	TRUE
ENSG00000213462	184.661	0.69	0.149	4.618	3.87232819641337e-06	0.000454238986518842	208.12	225.94	250.12	139.56	143.73	140.5	ERV3-1	endogenous	retrovirus	TRUE
ENSG00000164176	4627.831	0.329	0.071	4.611	3.99857019977293e-06	0.000460292552425289	4691.83	5338.6	5433.59	3881.51	3856.32	4565.15	EDIL3	EGF	like	TRUE
ENSG00000115415	27084.717	0.259	0.056	4.606	4.10709758658963e-06	0.000468325363482159	27818.96	29475.81	31234.17	23132.03	24621.75	26225.57	STAT1	signal	transducer	TRUE
ENSG00000164733	8016.857	-0.219	0.048	-4.594	4.35243838699334e-06	0.000491662829753163	7467.61	7465.18	7295.67	9028.86	8369.53	8474.29	CTSB	cathepsin	B	TRUE
ENSG00000205403	726.145	0.464	0.101	4.59	4.42803097598412e-06	0.000495570466728889	935.72	818.61	771.5	523.35	658.91	648.77	CFI	complement	factor	TRUE
ENSG00000138685	8124.195	0.301	0.066	4.575	4.76584599715069e-06	0.000528484225390462	8130.8	8918.47	9860.28	7215.68	6903.93	7716.02	FGF2	fibroblast	growth	TRUE
ENSG00000151718	2843.955	0.341	0.075	4.573	4.81218620611689e-06	0.00052877176975759	2811.3	3269.92	3456.57	2549.15	2325.94	2650.86	WWC2	WW	and	TRUE
ENSG00000149636	1096.899	-0.327	0.072	-4.569	4.89117034331098e-06	0.000532608792248647	994.36	957.13	966.44	1244.04	1151.84	1267.58	DSN1	DSN1	component	TRUE
ENSG00000128805	801.856	-0.419	0.092	-4.563	5.03595224528697e-06	0.000534223424944139	744.12	666.47	646.44	1021.62	898.8	833.69	ARHGAP22	Rho	GTPase	TRUE
ENSG00000132507	16337.186	-0.204	0.045	-4.563	5.03859273960717e-06	0.000534223424944139	14830.34	15834.12	14887.43	17581.26	17697.58	17192.39	EIF5A	eukaryotic	translation	TRUE
ENSG00000171681	1362.442	0.404	0.089	4.564	5.02687140364003e-06	0.000534223424944139	1314.8	1649.72	1693.8	1105.57	1171.07	1239.69	ATF7IP	activating	transcription	TRUE
ENSG00000234456	2514.379	0.34	0.075	4.549	5.40102561545444e-06	0.000567671274904328	2561.88	2754.45	3112.66	2149	2102.25	2406.03	MAGI2-AS3	MAGI2	antisense	TRUE
ENSG00000142669	2211.333	-0.306	0.067	-4.543	5.546556667871e-06	0.000577941641763421	2069.66	1994.88	1868.51	2482.64	2601.25	2251.06	SH3BGRL3	SH3	domain	TRUE
ENSG00000071537	3005.006	0.3	0.066	4.539	5.6394122859648e-06	0.000582594669234671	3063.19	3292.63	3593.58	2713.78	2547.6	2819.25	SEL1L	SEL1L	adaptor	TRUE
ENSG00000156261	6143.867	-0.206	0.046	-4.527	5.97593744115186e-06	0.000612128439416971	5810.07	5628.12	5675.43	6461.18	6649.88	6638.52	CCT8	chaperonin	containing	TRUE
ENSG00000124172	4307.422	-0.259	0.058	-4.495	6.95028917362244e-06	0.000701314960286875	4117.02	3945.47	3701.17	4801.73	4845.2	4433.95	ATP5F1E	ATP	synthase	TRUE
ENSG00000177034	431.129	0.524	0.117	4.495	6.96267024360263e-06	0.000701314960286875	443.5	502.98	579.31	389.24	338.06	333.68	MTX3	metaxin	3	TRUE
ENSG00000083168	1005.453	0.403	0.09	4.472	7.73585315182488e-06	0.000766420139722191	980.32	1208.05	1248.74	885.33	823.9	886.38	KAT6A	lysine	acetyltransferase	TRUE
ENSG00000100097	7417.345	-0.307	0.069	-4.473	7.71065993890144e-06	0.000766420139722191	6681.37	7221.07	5993.59	8055.21	8903.95	7648.87	LGALS1	galectin	1	TRUE
ENSG00000172493	4287.163	0.251	0.056	4.452	8.51558214882727e-06	0.000836811718966465	4382.12	4636.93	4958.18	3976.36	3816.85	3952.53	AFF1	AF4/FMR2	family	TRUE
ENSG00000179218	16377.607	-0.249	0.056	-4.447	8.70478607832613e-06	0.000846318006267954	14680.85	16203.13	14027.65	18178.75	17039.68	18135.58	CALR	calreticulin	complement	TRUE
ENSG00000186260	1269.808	0.427	0.096	4.446	8.75235797000862e-06	0.000846318006267954	1229.74	1585	1555.87	1076.14	971.67	1200.43	MRTFB	myocardin	related	TRUE
ENSG00000149136	6486.869	-0.2	0.045	-4.438	9.09927646045671e-06	0.000872880591885241	6070.22	6118.61	5925.55	6876.59	6884.7	7045.55	SSRP1	structure	specific	TRUE
ENSG00000175166	10085.224	-0.246	0.056	-4.419	9.90849759476032e-06	0.00094302370415644	8785.72	9983.47	8917.74	11259.64	10528.47	11036.31	PSMD2	proteasome	26S	TRUE
ENSG00000177463	311.564	0.642	0.145	4.417	1.00308273880219e-05	0.000943823593337842	295.67	433.72	411.04	275.85	219.64	233.47	NR2C2	nuclear	receptor	TRUE
ENSG00000198914	829.187	0.343	0.078	4.416	1.00730738430199e-05	0.000943823593337842	930.77	941.24	910.35	706.52	716.61	769.64	POU3F3	POU	class	TRUE
ENSG00000135480	2242.796	-0.38	0.086	-4.413	1.02055591121304e-05	0.000948881484525543	2003.59	2103.87	1740.7	2621.11	2807.73	2179.78	KRT7	keratin	7	TRUE
ENSG00000121691	2841.492	0.274	0.062	4.402	1.07201517360558e-05	0.000984348854593077	2874.06	3241.53	3218.41	2566.59	2472.7	2675.66	CAT	catalase	aminoacylase	TRUE
ENSG00000166794	6551.169	-0.225	0.051	-4.399	1.08852344557099e-05	0.000984348854593077	6217.23	6238.96	5667.15	7109.92	7089.15	6984.6	PPIB	peptidylprolyl	isomerase	TRUE
ENSG00000177600	9370.385	-0.271	0.062	-4.399	1.08672224513609e-05	0.000984348854593077	9216	8214.53	8045.1	9878.21	11029.48	9838.98	RPLP2	ribosomal	protein	TRUE
ENSG00000187498	22675.201	0.208	0.047	4.398	1.09127779031581e-05	0.000984348854593077	23317.09	25308.94	24292.53	20405.16	20966.85	21760.63	COL4A1	collagen	type	TRUE
ENSG00000167863	3586.884	-0.249	0.057	-4.394	1.11170053751726e-05	0.000995342547923783	3345.64	3314.2	3174.27	3651.45	4074.95	3960.8	ATP5PD	ATP	synthase	TRUE
ENSG00000240891	146.589	0.807	0.184	4.392	1.12192334044044e-05	0.000997109368816444	147.01	204.37	208.74	118.84	92.11	108.47	PLCXD2	phosphatidylinositol	specific	TRUE
ENSG00000182963	4836.048	-0.261	0.059	-4.388	1.14458290902467e-05	0.00100982289207162	4575.38	4333.78	4288.76	5694.69	4920.1	5203.58	GJC1	gap	junction	TRUE
ENSG00000124171	655.354	-0.504	0.115	-4.383	1.17263864911464e-05	0.00102707850375715	673.09	478	471.73	789.38	736.85	783.07	PARD6B	par-6	family	TRUE
ENSG00000145623	2290.883	0.27	0.062	4.369	1.24868281129024e-05	0.00108581504604785	2344.68	2570.52	2601.39	2015.98	2056.7	2156.02	OSMR	oncostatin	M	TRUE
ENSG00000177556	933.436	-0.355	0.081	-4.365	1.26936532060878e-05	0.00109591561644274	857.26	850.41	750.35	1029.25	1115.4	997.95	ATOX1	antioxidant	1	TRUE
ENSG00000005483	3370.933	0.32	0.073	4.362	1.28977983132841e-05	0.00109785695924412	3244.89	3902.33	4086.46	2978.73	2915.01	3098.18	KMT2E	lysine	methyltransferase	TRUE
ENSG00000163435	802.435	0.388	0.089	4.363	1.28342986451949e-05	0.00109785695924412	924.99	945.78	859.77	626.93	775.31	681.83	ELF3	E74	like	TRUE
ENSG00000163468	13308.747	-0.177	0.041	-4.357	1.32113967106528e-05	0.00111668637791371	12610.37	12471.1	12401.9	14122.79	14096.32	14149.99	CCT3	chaperonin	containing	TRUE
